ENGLISH,,,,,,,,,Symbol Key
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,(P) College Prep
653635,Freshman English (P),9,,,,Yes- Area B,,,(HP) Weighted College Prep
653640,Honors Freshman English (P) ,9,,,,Yes- Area B,,,(xP) Pending UC Approval College Prep
653655,Sophomore English (P),,10,,,Yes- Area B,,,(xHP) Pending UC Approval Weighted College Prep
653660,Honors Sophomore English (P) ,,10,,,Yes- Area B,,,(sem) Semester Course
653795,Junior English (P),,,11,,Yes- Area B,,,
653800,Honors Junior English (HP),,,11,,Yes- Area B,,,Course descriptions and details can be found
653435,AP English Language (HP),,,11,,Yes- Area B,,,in the 2026-2027 Course Catalog
653000,African Amercan Literature (P),,,11,12,Yes- Area B,,,
653440,British Literature (P),,,,12,Yes- Area B,,,
654730,CSU Expository Reading & Writing (P),,,,12,Yes- Area B,,,
653210,Literature & Dynamics of Social Justice (P),,,,12,Yes- Area B,,,
653425,AP English Literature & Comp (HP),,,,12,Yes- Area B,,,
ENGLISH ELECTIVES,,,,,,,,,
653310,Publications/Yearbook (P),9,10,11,12,Yes- Area G,,,
653315,Advanced Publications/Yearbook (P),,10,11,12,Yes- Area G,,,
653390,Debate 1 & 2,9,10,11,12,Yes- Area G,,,
MATHEMATICS,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
*Students will be placed in course recommended by current math teacher.* ,,,,,,,,,
697170,Algebra I (P),9,10,11,12,Yes- Area C,,,
697100,Geometry (P),9,10,11,12,Yes- Area C,,,
697110,Honors Geometry (P),9,10,11,12,Yes- Area C,,,
697080,Algebra II (P),9,10,11,12,Yes- Area C,,,
697090,Honors Algebra II (P),9,10,11,12,Yes- Area C,,,
697175,Math II (P),,10,11,12,Yes- Area C,,,
697105,Geo/Alg II: Course 1 (P),,10,,,Yes- Area C,,,
697107,Algebra II/Precalc:Course 2 (P),,,11,,Yes- Area C,,,
697180,Math III (P),,,11,12,Yes- Area C,,,
697185,Math IV (P),,,,12,Yes- Area C,,,
697200,Pre-Calculus (P),,,11,12,Yes- Area C,,,
697120,Honors Pre-Calculus (HP),,10,11,12,Yes- Area C,,,
697205,Calculus (P),,,11,12,Yes- Area C,,,
697230,AP Calculus AB (HP) ,,10,11,12,Yes- Area C,,,
697240,AP Calculus BC (HP) ,,10,11,12,Yes- Area C,,,
697145,AP Statistics (HP),,,11,12,Yes- Area C,,,
697140,Data Science (P),9,10,11,12,Yes- Area C,New Course 25-26,,
697370,AP Computer Science (HP),,10,11,12,Yes- Area C,,,
HISTORY/SOCIAL SCIENCE,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
748300,Ethnic Studies (P)(sem),9,,,,Yes- Area A,,,
748450,World History (P),,10,,,Yes- Area A,,,
748533,Honors World History (P) ,,10,,,Yes- Area A,,,
748310,AP World History (HP) ,,10,,,Yes- Area A,,,
748180,U.S. History (P),,,11,,Yes- Area A,,,
748200,AP U.S. History (HP) ,,,11,,Yes- Area A,,,
748205,AP African American Studies (xHP) ,,,11,,Yes- Area A Pending,Offered at PVA ONLY/Meets US History Requirement/New Course 25-26,,
748220,Civics (P) (sem),,,,12,Yes- Area A,,,
748260,Economics (P) (sem),,,,12,Yes- Area G,,,
748240,AP Govt & Politics (HP) (sem),,,,12,Yes- Area A,,,
748290,AP Macroeconomics (HP) (sem),,,,12,Yes- Area G,,,
748445,"Hon US Gov / Pol ""We the People"" (HP) ",,,,12,Yes- Area A,Must take AP Gov/AP Macro Concurrently,,
748320,AP Human Geography (HP) ,,10,11,12,Yes- Area A,,,
748380,AP Psychology (HP) ,,,11,12,Yes- Area G,,,
SCIENCE,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
737500,Biology (P),9,10,11,12,Yes- Area D,,,
737400,Principles of Biomedical Science (P) (PLTW/R.O.P),9,10,11,12,Yes- Area D,,,
737300,Earth & Space (P),9,10,11,12,Yes- Area D,,,
737660,Chemistry (P),9,10,11,12,Yes- Area D,,,
772122,Honors Human Body Systems (HP) (PLTW),,10,11,12,Yes- Area D,,,
737570,Zoology (P),,10,11,12,Yes- Area D,,,
737450,AP Biology (HP),,10,11,12,Yes- Area D,,,
737700,Physics (P),,10,11,12,Yes- Area D,,,
751272,Honors Medical Interventions (HP) (PLTW),,,11,12,Yes- Area D,,,
751665,AP Environmental Sci (HP) (R.O.P),,,11,12,Yes- Area D,,,
751685,Honors Environmental Sustainability (HP) (PLTW),,,,12,Yes- Area D,,,
737680,AP Chemistry (HP) ,,,11,12,Yes- Area D,,,
